task_id,task_name,specification_key,episode_length,search_strategy,attempt_found,estimated,reward,n_terms,action_indices,specification,numParams,numResids,maximum,vcHessianConditionNumber,successfulEstimation,LL0,LLC,LLout,rho2_0,adjRho2_0,rho2_C,adjRho2_C,AIC,BIC,eigValue,timeTaken,nFreeParams,skipped
4,Swissmetro,1110_2120_3212_4111_5000_6126_7000,10,topk,0,True,0.2536643653763445,5,"[125, 74, 17, 149, 27, 131, 75, 215, 106, 17]",1110_2120_3212_4111_5000_6126_7000,13,5409,-4145.59117505628,0.0012457025018633,True,-5548.28178432467,-4702.95474755347,-4145.59117505629,0.252815315406537,0.250472247677582,0.118513488310117,0.116174533208386,8317.18235011257,8402.9280037669,-2.466354,1.8224151134491,13,0
4,Swissmetro,1110_2120_3212_4214_5000_6126_7000,10,topk,1,True,0.2414109511843338,5,"[21, 74, 125, 27, 105, 215, 17, 73, 75, 125]",1110_2120_3212_4214_5000_6126_7000,13,5409,-4216.19739506783,0.0013774191777796,True,-5548.28178432467,-4702.95474755347,-4216.19739506783,0.240089534208648,0.237746466479693,0.103500326627394,0.101161371525663,8458.39479013566,8544.14044378999,-2.624755,1.85751914978027,13,0
4,Swissmetro,1110_2120_3212_4110_5000_6110_7000,10,topk,2,True,0.23939241471212988,5,"[215, 27, 17, 106, 21, 73, 17, 105, 75, 201]",1110_2120_3212_4110_5000_6110_7000,11,5409,-4227.78536705357,0.0011193920472032,True,-5548.28178432467,-4702.95474755347,-4227.78536705358,0.238000964731431,0.236018368960777,0.101036349700598,0.099122659162818,8477.57073410714,8550.12474873773,-2.681935,1.45410108566284,11,0
4,Swissmetro,1110_2120_3210_4222_5000_6110_7000,10,topk,3,True,0.2593889955493303,5,"[17, 27, 125, 21, 74, 17, 27, 131, 17, 73]",1110_2120_3210_4222_5000_6110_7000,15,5409,-4112.44534178286,0.0005363239870398,True,-5548.28178432467,-4702.95474755347,-4112.44534178287,0.258789387121328,0.256085847434072,0.125561362477025,0.122797142811343,8254.89068356572,8353.82797624379,-1.133008,1.7129762172699,15,0
4,Swissmetro,1110_2120_3211_4111_5000_6110_7000,10,topk,4,True,0.24992273578800506,5,"[21, 27, 74, 17, 21, 125, 215, 106, 201, 17]",1110_2120_3211_4111_5000_6110_7000,10,5409,-4167.19965926345,0.0080787456599188,True,-5548.28178432467,-4702.95474755347,-4167.19965926344,0.248920689097503,0.247118329306,0.113918827003116,0.112217768747311,8354.39931852689,8420.35751364561,-11.241843,1.34593200683594,10,0
