id,obs_id,choice,chosen_alt,av_1,av_2,av_3,xt_main1,xt_main2,xt_main3,xcosts1,xcosts2,xcosts3,xt_delay1,xt_delay2,xt_egr1,xt_egr2,xt_egr3,xt_acc2,xt_transf2,xt_transf3,xt_park1,xt_next3,xc_park1,xc_park3,mode2,mode3,ivt_pv,ivt_pt,ivt_pv_pt,ovt_pv,ovt_pt,ovt_pv_pt,tc_pv,tc_pt,tc_pv_pt,tra_pv,tra_pt,tra_pv_pt,rel_pv,rel_pt,cset_nr,purp,flex,with,weath,bag,time
34030,34093,3,pv_pt,1,1,1,20,20,15,2,2,1.5,20,10,6,7,2,12,10,5,5,15,5,4,3,1,20,20,30,11,19,2,7,2,5.5,0,10,5,20,10,3,4,1,2,1,1,1
34030,34093,1,pv,1,1,0,20,20,15,2,2,1.5,20,10,6,7,2,12,10,5,5,15,5,4,3,1,20,20,30,11,19,2,7,2,5.5,0,10,5,20,10,3,4,1,2,1,1,1
34030,34095,1,pv,1,1,1,20,25,18,2,2,1.75,10,10,0,7,7,7,5,10,5,10,0,2,2,3,20,25,28,5,14,7,2,2,3.75,0,5,10,10,10,4,1,2,1,1,1,1
34030,34095,3,pv_pt,0,1,1,20,25,18,2,2,1.75,10,10,0,7,7,7,5,10,5,10,0,2,2,3,20,25,28,5,14,7,2,2,3.75,0,5,10,10,10,4,1,2,1,1,1,1
34030,34096,1,pv,1,1,1,30,25,23,6,4,4.5,0,10,6,7,2,12,5,5,10,15,0,0,2,1,30,25,38,16,19,2,6,4,4.5,0,5,5,0,10,5,1,2,1,1,1,1
34030,34096,3,pv_pt,0,1,1,30,25,23,6,4,4.5,0,10,6,7,2,12,5,5,10,15,0,0,2,1,30,25,38,16,19,2,6,4,4.5,0,5,5,0,10,5,1,2,1,1,1,1
34030,34097,1,pv,1,1,1,30,20,30,2,0,2.0,0,10,12,12,7,12,5,10,0,15,10,0,3,3,30,20,45,12,24,7,12,0,2.0,0,5,10,0,10,6,1,2,1,1,1,1
34030,34097,3,pv_pt,0,1,1,30,20,30,2,0,2.0,0,10,12,12,7,12,5,10,0,15,10,0,3,3,30,20,45,12,24,7,12,0,2.0,0,5,10,0,10,6,1,2,1,1,1,1
34030,34099,1,pv,1,1,1,20,25,18,2,0,1.75,0,0,12,2,7,12,0,15,5,5,5,4,2,1,20,25,23,17,14,7,7,0,5.75,0,0,15,0,0,7,4,2,2,3,2,1
34030,34099,2,pt,0,1,1,20,25,18,2,0,1.75,0,0,12,2,7,12,0,15,5,5,5,4,2,1,20,25,23,17,14,7,7,0,5.75,0,0,15,0,0,7,4,2,2,3,2,1
34030,34100,2,pt,1,1,1,25,20,25,6,4,6.0,10,20,12,2,2,2,10,15,5,5,10,2,3,3,25,20,30,17,4,2,16,4,8.0,0,10,15,10,20,8,4,2,2,3,2,1
34030,34100,3,pv_pt,1,0,1,25,20,25,6,4,6.0,10,20,12,2,2,2,10,15,5,5,10,2,3,3,25,20,30,17,4,2,16,4,8.0,0,10,15,10,20,8,4,2,2,3,2,1
34030,34101,1,pv,1,1,1,30,25,23,6,2,4.5,0,10,6,12,2,7,10,15,5,10,5,4,2,2,30,25,33,11,19,2,11,2,8.5,0,10,15,0,10,9,4,2,2,3,2,1
34030,34101,3,pv_pt,0,1,1,30,25,23,6,2,4.5,0,10,6,12,2,7,10,15,5,10,5,4,2,2,30,25,33,11,19,2,11,2,8.5,0,10,15,0,10,9,4,2,2,3,2,1
34061,34139,1,pv,1,1,1,30,20,23,4,0,3.0,20,20,12,2,12,2,0,15,10,5,0,0,1,1,30,20,28,22,4,12,4,0,3.0,0,0,15,20,20,1,3,2,2,1,2,2
34061,34139,2,pt,0,1,1,30,20,23,4,0,3.0,20,20,12,2,12,2,0,15,10,5,0,0,1,1,30,20,28,22,4,12,4,0,3.0,0,0,15,20,20,1,3,2,2,1,2,2
34061,34140,1,pv,1,1,1,25,20,25,6,4,6.0,10,20,12,2,2,2,10,15,5,5,10,2,3,3,25,20,30,17,4,2,16,4,8.0,0,10,15,10,20,2,3,2,2,1,2,2
34061,34140,2,pt,0,1,1,25,20,25,6,4,6.0,10,20,12,2,2,2,10,15,5,5,10,2,3,3,25,20,30,17,4,2,16,4,8.0,0,10,15,10,20,2,3,2,2,1,2,2
34061,34141,1,pv,1,1,1,20,20,15,2,2,1.5,20,10,6,7,2,12,10,5,5,15,5,4,3,1,20,20,30,11,19,2,7,2,5.5,0,10,5,20,10,3,3,2,2,1,2,2
34061,34141,2,pt,0,1,1,20,20,15,2,2,1.5,20,10,6,7,2,12,10,5,5,15,5,4,3,1,20,20,30,11,19,2,7,2,5.5,0,10,5,20,10,3,3,2,2,1,2,2
34061,34143,2,pt,1,1,1,20,30,18,6,0,5.25,10,0,12,12,7,2,0,10,0,15,5,4,1,1,20,30,33,12,14,7,11,0,9.25,0,0,10,10,0,4,1,2,2,4,1,1
34061,34143,1,pv,1,0,1,20,30,18,6,0,5.25,10,0,12,12,7,2,0,10,0,15,5,4,1,1,20,30,33,12,14,7,11,0,9.25,0,0,10,10,0,4,1,2,2,4,1,1
34061,34144,2,pt,1,1,1,20,25,18,2,0,1.75,0,0,12,2,7,12,0,15,5,5,5,4,2,1,20,25,23,17,14,7,7,0,5.75,0,0,15,0,0,5,1,2,2,4,1,1
34061,34144,1,pv,1,0,1,20,25,18,2,0,1.75,0,0,12,2,7,12,0,15,5,5,5,4,2,1,20,25,23,17,14,7,7,0,5.75,0,0,15,0,0,5,1,2,2,4,1,1
34061,34145,1,pv,1,1,1,25,30,25,4,4,4.0,10,10,6,7,7,7,5,10,5,10,0,2,1,3,25,30,35,11,14,7,4,4,6.0,0,5,10,10,10,6,1,2,2,4,1,1
34061,34145,2,pt,0,1,1,25,30,25,4,4,4.0,10,10,6,7,7,7,5,10,5,10,0,2,1,3,25,30,35,11,14,7,4,4,6.0,0,5,10,10,10,6,1,2,2,4,1,1
34061,34147,1,pv,1,1,1,30,25,23,6,2,4.5,0,10,6,12,2,7,10,15,5,10,5,4,2,2,30,25,33,11,19,2,11,2,8.5,0,10,15,0,10,7,2,1,1,3,1,1
34061,34147,3,pv_pt,0,1,1,30,25,23,6,2,4.5,0,10,6,12,2,7,10,15,5,10,5,4,2,2,30,25,33,11,19,2,11,2,8.5,0,10,15,0,10,7,2,1,1,3,1,1
34061,34148,3,pv_pt,1,1,1,30,25,23,6,4,4.5,0,10,6,7,2,12,5,5,10,15,0,0,2,1,30,25,38,16,19,2,6,4,4.5,0,5,5,0,10,8,2,1,1,3,1,1
34061,34148,1,pv,1,1,0,30,25,23,6,4,4.5,0,10,6,7,2,12,5,5,10,15,0,0,2,1,30,25,38,16,19,2,6,4,4.5,0,5,5,0,10,8,2,1,1,3,1,1
34061,34149,3,pv_pt,1,1,1,20,30,20,4,2,4.0,0,10,12,12,2,2,10,5,10,5,5,0,3,1,20,30,25,22,14,2,9,2,4.0,0,10,5,0,10,9,2,1,1,3,1,1
34061,34149,1,pv,1,1,0,20,30,20,4,2,4.0,0,10,12,12,2,2,10,5,10,5,5,0,3,1,20,30,25,22,14,2,9,2,4.0,0,10,5,0,10,9,2,1,1,3,1,1
34154,34197,1,pv,1,1,1,20,25,18,4,4,1.75,0,10,0,7,7,7,5,10,0,10,0,2,1,1,20,25,28,0,14,7,4,4,3.75,0,5,10,0,10,1,1,1,1,2,2,1
34154,34197,3,pv_pt,0,1,1,20,25,18,4,4,1.75,0,10,0,7,7,7,5,10,0,10,0,2,1,1,20,25,28,0,14,7,4,4,3.75,0,5,10,0,10,1,1,1,1,2,2,1
34154,34199,3,pv_pt,1,1,1,25,20,25,6,4,6.0,10,20,12,2,2,2,10,15,5,5,10,2,3,3,25,20,30,17,4,2,16,4,8.0,0,10,15,10,20,2,1,1,1,2,2,1
34154,34199,2,pt,1,1,0,25,20,25,6,4,6.0,10,20,12,2,2,2,10,15,5,5,10,2,3,3,25,20,30,17,4,2,16,4,8.0,0,10,15,10,20,2,1,1,1,2,2,1
34154,34201,3,pv_pt,1,1,1,25,25,22,2,4,1.75,10,0,6,12,12,2,10,15,10,15,10,0,1,3,25,25,37,16,14,12,12,4,1.75,0,10,15,10,0,3,1,1,1,2,2,1
34154,34201,2,pt,1,1,0,25,25,22,2,4,1.75,10,0,6,12,12,2,10,15,10,15,10,0,1,3,25,25,37,16,14,12,12,4,1.75,0,10,15,10,0,3,1,1,1,2,2,1
34154,34204,1,pv,1,1,1,30,25,23,6,4,4.5,0,10,6,7,2,12,5,5,10,15,0,0,2,1,30,25,38,16,19,2,6,4,4.5,0,5,5,0,10,4,3,1,1,2,1,2
34154,34204,3,pv_pt,0,1,1,30,25,23,6,4,4.5,0,10,6,7,2,12,5,5,10,15,0,0,2,1,30,25,38,16,19,2,6,4,4.5,0,5,5,0,10,4,3,1,1,2,1,2
34154,34207,3,pv_pt,1,1,1,20,25,18,2,2,1.75,10,10,0,7,7,7,5,10,5,10,0,2,2,3,20,25,28,5,14,7,2,2,3.75,0,5,10,10,10,5,3,1,1,2,1,2
34154,34207,1,pv,1,1,0,20,25,18,2,2,1.75,10,10,0,7,7,7,5,10,5,10,0,2,2,3,20,25,28,5,14,7,2,2,3.75,0,5,10,10,10,5,3,1,1,2,1,2
34154,34209,3,pv_pt,1,1,1,30,25,23,6,2,4.5,0,10,6,12,2,7,10,15,5,10,5,4,2,2,30,25,33,11,19,2,11,2,8.5,0,10,15,0,10,6,3,1,1,2,1,2
34154,34209,1,pv,1,1,0,30,25,23,6,2,4.5,0,10,6,12,2,7,10,15,5,10,5,4,2,2,30,25,33,11,19,2,11,2,8.5,0,10,15,0,10,6,3,1,1,2,1,2
