id,obs_id,choice,chosen_alt,avail_car,avail_bus,avail_rail,avail_taxi,avail_cycling,avail_walking,car_travel_time_min,bus_ivt_time_min,rail_ivt_time_min,taxi_travel_time_min,cycling_travel_time_min,walking_travel_time_min,total_car_cost,bus_cost_total_per_leg,rail_cost_total_per_leg,taxi_cost,ovt_bus_min,ovt_rail_min,city,hh_size,purpose,income_perso,income_hh,age,education,female,british_origin,occ,n_car
41394,2266,1,car,1,1,0,1,1,1,5.35,3.26666666666667,3.26666666666667,5.35,5.95,22.9833333333333,0.270233476672113,1.5,1.5,4.23163958333333,10.55,10.55,1,2,2.0,2,1,3,2,0,1,1.0,1
41496,2267,1,car,1,1,0,1,1,1,5.58333333333333,4.1,0.0,5.58333333333333,7.4,20.55,0.271034037179529,1.5,0.0,4.260905,12.25,0.0001,1,2,2.0,2,1,3,2,0,1,1.0,1
41508,2268,1,car,1,1,0,1,1,0,9.21666666666667,9.75,9.75,9.21666666666667,10.1333333333333,44.75,0.488482775346911,2.3,2.3,5.55087541666667,11.2333333333333,11.2333333333333,1,2,2.0,2,1,3,2,0,1,1.0,1
41610,2269,1,car,1,1,0,1,1,0,8.5,12.55,6.0,8.5,16.7833333333333,56.4333333333333,0.546859690437572,2.3,2.3,5.80612208333333,13.6,7.5333333333333,1,2,2.0,2,1,3,2,0,1,1.0,1
41664,2270,1,car,1,0,0,1,1,1,5.4,0.0,0.0,5.4,7.6,16.3333333333333,0.197238348997588,0.0,0.0,3.94452833333333,0.0001,0.0001,1,2,2.0,2,1,3,2,0,1,1.0,1
41774,2271,5,cycling,0,1,0,1,1,1,6.45,6.91666666666667,0.0,6.45,8.78333333333333,25.5666666666667,0.302812242419355,2.3,0.0,4.44747458333333,10.4166666666666,0.0001,1,2,1.0,2,1,3,2,0,1,1.0,1
42938,2272,6,walking,0,1,0,0,0,1,2.5,3.16666666666667,0.0,2.5,2.86666666666667,10.3333333333333,0.132325441272264,1.5,0.0,3.42895208333333,4.1,0.0001,1,2,4.0,2,1,3,2,0,1,1.0,1
42969,2273,6,walking,0,0,0,0,1,1,3.7,0.0,0.0,3.7,5.65,17.2333333333333,0.223473511113504,0.0,0.0,3.92101583333333,0.0001,0.0001,1,2,4.0,2,1,3,2,0,1,1.0,1
43026,2274,6,walking,0,1,0,1,1,1,6.08333333333333,1.08333333333333,0.0,6.08333333333333,7.3,25.4166666666667,0.348643529422814,1.5,0.0,4.623355,22.1,0.0001,1,2,1.0,2,1,3,2,0,1,1.0,1
43130,2275,6,walking,0,1,0,0,0,1,2.21666666666667,2.03333333333333,0.0,2.21666666666667,4.35,11.9,0.115266933866398,1.5,0.0,3.35274416666667,6.71666666666667,0.0001,1,2,1.0,2,1,3,2,0,1,1.0,1
